USD_TRY
0.56
0.61
0.64
0.68
0.78
1.18
1.39
1.52
1.36
1.4
1.64
1.61
1.65
1.51
1.39
1.44
1.33
1.45
1.47
1.44
1.32
1.36
1.33
1.35
1.33
1.45
1.49
1.45
1.4
1.33
1.28
1.19
